Temperature_C,TempLabel,Humidity_pct,HumidityLabel,Discomfort,FanSpeed,FanSpeedLabel
23.24,Comfortable,74.5,Humid,1.25,15.17,Low
31.31,Hot,34.37,Dry,7.31,88.72,High
28.25,Hot,28.69,Dry,4.25,51.58,Medium
26.38,Hot,49.37,Normal,2.38,28.89,Low
20.18,Comfortable,79.14,Humid,4.403,53.44,Medium
20.18,Comfortable,34.52,Dry,3.82,46.36,Medium
18.81,Cold,60.33,Humid,5.397,65.5,Medium
30.13,Hot,65.7,Humid,6.444,78.21,High
26.42,Hot,34.26,Dry,2.42,29.37,Low
27.91,Hot,63.69,Humid,4.184,50.78,Medium
18.29,Cold,42.07,Normal,5.71,69.3,High
31.58,Hot,57.94,Normal,7.739,93.93,High
29.65,Hot,58.01,Normal,5.81,70.52,High
20.97,Comfortable,52.15,Normal,3.073,37.3,Medium
20.55,Comfortable,25.42,Dry,3.45,41.87,Medium
20.57,Comfortable,70.12,Humid,3.832,46.52,Medium
22.26,Comfortable,39.25,Normal,1.74,21.12,Low
25.35,Comfortable,31.19,Dry,1.35,16.39,Low
24.05,Comfortable,22.45,Dry,0.05,0.61,Low
22.08,Comfortable,55.45,Normal,2.029,24.63,Low
26.57,Hot,60.65,Humid,2.783,33.78,Low
19.95,Cold,21.0,Dry,4.05,49.16,Medium
22.09,Comfortable,50.73,Normal,1.925,23.36,Low
23.13,Comfortable,33.59,Dry,0.87,10.56,Low
24.38,Comfortable,58.71,Normal,0.554,6.73,Low
28.99,Hot,30.46,Dry,4.99,60.57,Medium
20.8,Comfortable,61.46,Humid,3.429,41.62,Medium
25.2,Comfortable,43.2,Normal,1.2,14.56,Low
26.29,Hot,76.2,Humid,2.814,34.15,Medium
18.65,Cold,28.25,Dry,5.35,64.94,Medium
26.51,Hot,40.46,Normal,2.51,30.46,Low
20.39,Comfortable,26.81,Dry,3.61,43.82,Medium
18.91,Cold,75.48,Humid,5.6,67.96,High
31.28,Hot,72.64,Humid,7.733,93.86,High
31.52,Hot,35.48,Normal,7.52,91.27,High
29.32,Hot,59.6,Normal,5.512,66.9,Medium
22.26,Comfortable,69.03,Humid,2.121,25.74,Low
19.37,Cold,53.31,Normal,4.696,57.0,Medium
27.58,Hot,51.78,Normal,3.616,43.88,Medium
24.16,Comfortable,34.51,Dry,0.16,1.94,Low
19.71,Cold,25.59,Dry,4.29,52.07,Medium
24.93,Comfortable,73.83,Humid,1.407,17.07,Low
18.48,Cold,74.03,Humid,6.001,72.83,High
30.73,Hot,57.99,Normal,6.89,83.62,High
21.62,Comfortable,40.34,Normal,2.38,28.89,Low
27.28,Hot,40.95,Normal,3.28,39.81,Medium
22.36,Comfortable,63.56,Humid,1.911,23.2,Low
25.28,Comfortable,73.83,Humid,1.757,21.32,Low
25.65,Comfortable,73.23,Humid,2.115,25.67,Low
20.59,Comfortable,66.79,Humid,3.746,45.46,Medium
31.57,Hot,58.52,Normal,7.74,93.95,High
28.85,Hot,25.05,Dry,4.85,58.87,Medium
31.15,Hot,29.7,Dry,7.15,86.78,High
30.53,Hot,73.91,Humid,7.008,85.06,High
26.37,Hot,56.39,Normal,2.498,30.32,Low
30.91,Hot,20.55,Dry,6.91,83.87,High
19.24,Cold,26.09,Dry,4.76,57.77,Medium
20.74,Comfortable,59.81,Normal,3.456,41.95,Medium
18.63,Cold,20.3,Dry,5.37,65.18,Medium
22.55,Comfortable,29.65,Dry,1.45,17.6,Low
23.44,Comfortable,52.92,Normal,0.618,7.51,Low
21.8,Comfortable,61.51,Humid,2.43,29.5,Low
29.6,Hot,59.12,Normal,5.782,70.18,High
22.99,Comfortable,33.46,Dry,1.01,12.26,Low
21.93,Comfortable,62.73,Humid,2.325,28.21,Low
25.6,Comfortable,34.23,Dry,1.6,19.42,Low
19.97,Cold,39.52,Normal,4.03,48.91,Medium
29.23,Hot,64.79,Humid,5.526,67.07,High
19.04,Cold,58.98,Normal,5.14,62.38,Medium
31.82,Hot,70.95,Humid,8.239,100.0,High
28.81,Hot,59.46,Normal,4.999,60.68,Medium
20.78,Comfortable,54.1,Normal,3.302,40.08,Medium
18.08,Cold,25.62,Dry,5.92,71.85,High
29.42,Hot,42.06,Normal,5.42,65.78,Medium
27.9,Hot,35.91,Normal,3.9,47.34,Medium
28.21,Hot,34.64,Dry,4.21,51.1,Medium
28.8,Hot,78.38,Humid,5.368,65.15,Medium
19.04,Cold,43.59,Normal,4.96,60.2,Medium
23.02,Comfortable,73.52,Humid,1.45,17.6,Low
19.62,Cold,57.87,Normal,4.537,55.07,Medium
30.08,Hot,67.69,Humid,6.434,78.09,High
26.73,Hot,50.16,Normal,2.733,33.17,Low
22.63,Comfortable,54.61,Normal,1.462,17.75,Low
18.89,Cold,49.55,Normal,5.11,62.02,Medium
22.35,Comfortable,31.71,Dry,1.65,20.03,Low
22.55,Comfortable,63.35,Humid,1.717,20.84,Low
28.21,Hot,36.85,Normal,4.21,51.1,Medium
26.93,Hot,21.46,Dry,2.93,35.56,Medium
30.42,Hot,58.73,Normal,6.595,80.04,High
24.61,Comfortable,30.63,Dry,0.61,7.4,Low
19.67,Cold,76.43,Humid,4.859,58.97,Medium
27.99,Hot,77.24,Humid,4.535,55.04,Medium
28.65,Hot,74.89,Humid,5.148,62.48,Medium
25.86,Comfortable,42.21,Normal,1.86,22.58,Low
28.79,Hot,20.93,Dry,4.79,58.14,Medium
24.91,Comfortable,75.7,Humid,1.424,17.28,Low
25.32,Comfortable,45.69,Normal,1.32,16.02,Low
23.99,Comfortable,78.0,Humid,0.57,6.92,Low
18.36,Cold,77.82,Humid,6.196,75.21,High
19.51,Cold,71.18,Humid,4.914,59.64,Medium
18.44,Cold,37.67,Normal,5.56,67.48,High
26.91,Hot,43.11,Normal,2.91,35.32,Medium
22.4,Comfortable,71.07,Humid,2.021,24.53,Low
25.12,Comfortable,39.02,Normal,1.12,13.59,Low
30.71,Hot,30.17,Dry,6.71,81.44,High
21.49,Comfortable,53.41,Normal,2.578,31.29,Low
