Temperature_C,TempLabel,Humidity_pct,HumidityLabel,Discomfort,FanSpeed,FanSpeedLabel
23.24,Warm,74.5,Humid,22.01,50.0,Medium
31.31,Hot,34.37,Dry,25.24,82.1,High
28.25,Warm,28.69,Dry,22.86,,High
26.38,Warm,49.37,Normal,23.07,50.0,Medium
20.18,Cold,79.14,Humid,19.53,50.0,Medium
20.18,Cold,34.52,Dry,18.13,21.25,Low
18.81,Cold,60.33,Normal,17.87,50.0,Medium
30.13,Hot,65.7,Humid,27.18,82.69,High
26.42,Warm,34.26,Dry,22.11,50.0,Medium
27.91,Warm,63.69,Normal,25.23,50.0,Medium
18.29,Cold,42.07,Normal,17.08,,High
31.58,Hot,57.94,Normal,27.63,85.16,High
29.65,Hot,58.01,Normal,26.15,78.45,High
20.97,Cold,52.15,Normal,19.27,50.0,Medium
20.55,Cold,25.42,Dry,18.07,16.64,Low
20.57,Cold,70.12,Humid,19.57,50.0,Medium
22.26,Warm,39.25,Normal,19.67,50.0,Medium
25.35,Warm,31.19,Dry,21.24,50.0,Medium
24.05,Warm,22.45,Dry,19.98,,High
22.08,Warm,55.45,Normal,20.22,50.0,Medium
26.57,Warm,60.65,Normal,23.96,50.0,Medium
19.95,Cold,21.0,Dry,17.58,15.46,Low
22.09,Warm,50.73,Normal,20.03,50.0,Medium
23.13,Warm,33.59,Dry,19.98,50.0,Medium
24.38,Warm,58.71,Normal,22.14,50.0,Medium
28.99,Hot,30.46,Dry,23.45,65.11,High
20.8,Cold,61.46,Normal,19.46,50.0,Medium
25.2,Warm,43.2,Normal,21.86,50.0,Medium
26.29,Warm,76.2,Humid,24.75,50.0,Medium
18.65,Cold,28.25,Dry,17.01,14.94,Low
26.51,Warm,40.46,Normal,22.58,50.0,Medium
20.39,Cold,26.81,Dry,18.02,16.31,Low
18.91,Cold,75.48,Humid,18.32,50.0,Medium
31.28,Hot,72.64,Humid,28.75,85.35,High
31.52,Hot,35.48,Normal,25.48,82.6,High
29.32,Hot,59.6,Normal,26.03,73.03,High
22.26,Warm,69.03,Humid,20.94,50.0,Medium
19.37,Cold,53.31,Normal,18.12,,High
27.58,Warm,51.78,Normal,24.11,50.0,Medium
24.16,Warm,34.51,Dry,20.68,50.0,Medium
19.71,Cold,25.59,Dry,17.58,15.04,Low
24.93,Warm,73.83,Humid,23.43,50.0,Medium
18.48,Cold,74.03,Humid,17.91,50.0,Medium
30.73,Hot,57.99,Normal,26.98,85.15,High
21.62,Warm,40.34,Normal,19.28,50.0,Medium
27.28,Warm,40.95,Normal,23.13,50.0,Medium
22.36,Warm,63.56,Normal,20.78,50.0,Medium
25.28,Warm,73.83,Humid,23.73,50.0,Medium
25.65,Warm,73.23,Humid,24.01,50.0,Medium
20.59,Cold,66.79,Humid,19.48,50.0,Medium
31.57,Hot,58.52,Normal,27.68,84.97,High
28.85,Warm,25.05,Dry,22.93,,High
31.15,Hot,29.7,Dry,24.71,,High
30.53,Hot,73.91,Humid,28.23,85.35,High
26.37,Warm,56.39,Normal,23.52,50.0,Medium
30.91,Hot,20.55,Dry,23.74,,High
19.24,Cold,26.09,Dry,17.31,14.31,Low
20.74,Cold,59.81,Normal,19.36,50.0,Medium
18.63,Cold,20.3,Dry,16.82,13.62,Low
22.55,Warm,29.65,Dry,19.44,,High
23.44,Warm,52.92,Normal,21.13,50.0,Medium
21.8,Warm,61.51,Normal,20.25,50.0,Medium
29.6,Hot,59.12,Normal,26.2,77.62,High
22.99,Warm,33.46,Dry,19.88,50.0,Medium
21.93,Warm,62.73,Normal,20.41,50.0,Medium
25.6,Warm,34.23,Dry,21.58,50.0,Medium
19.97,Cold,39.52,Normal,18.15,19.76,Low
29.23,Hot,64.79,Normal,26.38,70.22,High
19.04,Cold,58.98,Normal,18.02,,High
31.82,Hot,70.95,Humid,29.05,84.79,High
28.81,Warm,59.46,Normal,25.62,64.81,Medium
20.78,Cold,54.1,Normal,19.19,50.0,Medium
18.08,Cold,25.62,Dry,16.62,14.16,Low
29.42,Hot,42.06,Normal,24.67,74.66,High
27.9,Warm,35.91,Normal,23.18,50.0,Medium
28.21,Warm,34.64,Dry,23.28,55.68,Medium
28.8,Warm,78.38,Humid,27.1,64.64,Medium
19.04,Cold,43.59,Normal,17.63,,High
23.02,Warm,73.52,Humid,21.78,50.0,Medium
19.62,Cold,57.87,Normal,18.43,,High
30.08,Hot,67.69,Humid,27.31,83.54,High
26.73,Warm,50.16,Normal,23.38,50.0,Medium
22.63,Warm,54.61,Normal,20.6,50.0,Medium
18.89,Cold,49.55,Normal,17.67,,High
22.35,Warm,31.71,Dry,19.4,50.0,Medium
22.55,Warm,63.35,Normal,20.93,50.0,Medium
28.21,Warm,36.85,Normal,23.45,54.3,Medium
26.93,Warm,21.46,Dry,21.56,,High
30.42,Hot,58.73,Normal,26.81,84.9,High
24.61,Warm,30.63,Dry,20.75,50.0,Medium
19.67,Cold,76.43,Humid,19.0,50.0,Medium
27.99,Warm,77.24,Humid,26.3,50.0,Medium
28.65,Warm,74.89,Humid,26.7,62.13,Medium
25.86,Warm,42.21,Normal,22.25,50.0,Medium
28.79,Warm,20.93,Dry,22.58,,High
24.91,Warm,75.7,Humid,23.52,50.0,Medium
25.32,Warm,45.69,Normal,22.09,50.0,Medium
23.99,Warm,78.0,Humid,22.84,50.0,Medium
18.36,Cold,77.82,Humid,17.89,50.0,Medium
19.51,Cold,71.18,Humid,18.72,50.0,Medium
18.44,Cold,37.67,Normal,17.09,18.86,Low
26.91,Warm,43.11,Normal,23.03,50.0,Medium
22.4,Warm,71.07,Humid,21.14,50.0,Medium
25.12,Warm,39.02,Normal,21.56,50.0,Medium
30.71,Hot,30.17,Dry,24.48,80.08,High
21.49,Warm,53.41,Normal,19.7,50.0,Medium
23.75,Warm,76.17,Humid,22.54,50.0,Medium
28.58,Warm,61.76,Normal,25.62,60.92,Medium
21.2,Warm,54.2,Normal,19.51,50.0,Medium
19.08,Cold,25.83,Dry,17.21,14.21,Low
22.06,Warm,56.9,Normal,20.27,50.0,Medium
20.26,Cold,79.4,Humid,19.61,50.0,Medium
31.02,Hot,28.41,Dry,24.52,,High
29.31,Hot,51.1,Normal,25.33,72.87,High
26.87,Warm,72.64,Humid,25.01,50.0,Medium
30.2,Hot,64.45,Normal,27.13,82.63,High
29.25,Hot,61.82,Normal,26.15,71.9,High
20.61,Cold,62.15,Normal,19.34,50.0,Medium
30.5,Hot,41.57,Normal,25.36,85.0,High
25.55,Warm,37.62,Normal,21.76,50.0,Medium
29.3,Hot,68.56,Humid,26.74,72.71,High
30.55,Hot,68.61,Humid,27.78,83.91,High
22.45,Warm,72.02,Humid,21.23,50.0,Medium
19.54,Cold,74.79,Humid,18.84,50.0,Medium
